,A,w,df,f1,f2,f3,f4,f5,Aq1,Aq2,Aq3,Aq4,Aq5
0,0.1,0.7000044091571898,0.1,1.10999778,0.999998,0.8899982200000001,0.7799984400000001,0.66999866,0.04365861508385174,0.01646689241550038,0.014283214428107888,0.013025698129864314,0.011212993687607862
1,0.1,2.3333480305239656,0.1,1.10999778,,,,,0.13916715571717572,,,,
2,0.1,3.966691651890741,0.1,1.25999748,0.62999874,1.12999774,,,0.020518618963717566,0.008062896529789629,0.002372610918761873,,
3,0.1,5.600035273257517,0.1,0.8899982200000001,1.7799964400000001,,,,0.01507399909968122,0.0025727594288863062,,,
4,0.1,7.233378894624293,0.1,1.1499977000000001,,,,,0.10697066829774585,,,,
5,0.1,8.86672251599107,0.1,1.40999718,1.12999774,,,,0.009483429182786083,0.0015943805325340243,,,
6,0.1,10.500066137357845,0.1,1.66999666,1.13999772,,,,0.004088904811465242,0.0011605151869938759,,,
7,0.1,0.7000044091571898,1.1138642178632645,1.10999778,0.999998,0.21999956,0.8899982200000001,0.32999934000000003,0.0635289338246083,0.03731451590636521,0.03691501314623147,0.03573602939278633,0.0318686479573277
8,0.1,2.3333480305239656,1.1138642178632645,1.10999778,0.73999852,0.36999926,,,0.5349926245162661,0.11287419927683269,0.054495609537632085,,
9,0.1,3.966691651890741,1.1138642178632645,1.25999748,0.62999874,1.11999776,,,0.17724740059421143,0.08480401099165376,0.02495156219981967,,
10,0.1,5.600035273257517,1.1138642178632645,0.8899982200000001,1.7799964400000001,,,,0.15771087384610025,0.022912915325817018,,,
11,0.1,7.233378894624293,1.1138642178632645,1.1499977000000001,1.06999786,,,,0.5806826407373594,0.058657896500765486,,,
12,0.1,8.86672251599107,1.1138642178632645,1.40999718,1.12999774,,,,0.0994730081279947,0.023582552905665386,,,
13,0.1,10.500066137357845,1.1138642178632645,1.66999666,1.13999772,,,,0.04305013866871178,0.01734385733347161,,,
14,0.1,0.7000044091571898,2.127728435726529,1.10999778,0.10999978,0.7799984400000001,0.21999956,0.55999888,0.10543774992719508,0.039829966278524295,0.03380275816891525,0.03274319747890411,0.029596680526754727
15,0.1,2.3333480305239656,2.127728435726529,0.73999852,0.36999926,1.10999778,1.4899970200000001,,0.08516578681768648,0.07947786904269435,0.06252953155436941,0.018268195630991548,
16,0.1,3.966691651890741,2.127728435726529,1.25999748,0.62999874,,,,0.16513843703114398,0.13470408532422284,,,
17,0.1,5.600035273257517,2.127728435726529,0.8899982200000001,,,,,0.2559396502455607,,,,
18,0.1,7.233378894624293,2.127728435726529,1.1499977000000001,,,,,0.724216603703127,,,,
19,0.1,8.86672251599107,2.127728435726529,1.40999718,1.12999774,,,,0.16323778436385528,0.026328069790264978,,,
20,0.1,10.500066137357845,2.127728435726529,1.66999666,1.12999774,,,,0.07104951969498931,0.017245904667437483,,,
21,0.1,0.7000044091571898,3.1415926535897936,0.10999978,0.999998,0.7799984400000001,0.55999888,0.32999934000000003,0.04484612839876912,0.04058433968262858,0.036808419225525385,0.034724313636513966,0.032458719679033764
22,0.1,2.3333480305239656,3.1415926535897936,1.10999778,0.36999926,,,,0.5400612666006487,0.10636338382218427,,,
23,0.1,3.966691651890741,3.1415926535897936,0.62999874,,,,,0.1482892736216891,,,,
24,0.1,5.600035273257517,3.1415926535897936,0.8899982200000001,,,,,0.2900420380195859,,,,
25,0.1,7.233378894624293,3.1415926535897936,1.1499977000000001,,,,,0.7663258534152431,,,,
26,0.1,8.86672251599107,3.1415926535897936,1.40999718,1.11999776,,,,0.18616981746636657,0.024548466756417683,,,
27,0.1,10.500066137357845,3.1415926535897936,1.66999666,1.12999774,,,,0.08120363889692857,0.015431660113871556,,,
28,0.1,0.7000044091571898,4.155456871453057,1.10999778,0.10999978,0.21999956,0.7799984400000001,0.8899982200000001,0.10326730621448652,0.038961400628969765,0.03447765570366472,0.03382733966860354,0.029459431494523312
29,0.1,2.3333480305239656,4.155456871453057,0.73999852,0.36999926,1.11999776,1.4899970200000001,,0.08605822533789605,0.07879425598388753,0.0490920019529207,0.018539865286800246,
30,0.1,3.966691651890741,4.155456871453057,1.25999748,0.62999874,1.11999776,,,0.1651159311338569,0.1351171823643517,0.024465778696565625,,
31,0.1,5.600035273257517,4.155456871453057,0.8899982200000001,,,,,0.25589883971019345,,,,
32,0.1,7.233378894624293,4.155456871453057,1.1499977000000001,,,,,0.7262267362181792,,,,
33,0.1,8.86672251599107,4.155456871453057,1.40999718,1.12999774,,,,0.16328260095927388,0.019944695187965218,,,
34,0.1,10.500066137357845,4.155456871453057,1.66999666,1.13999772,,,,0.07103337170158147,0.011716668659464236,,,
